,importance
StddevVoicedSegmentLengthSec,0.0733356491086424
spectralFluxV_sma3nz_stddevNorm,0.03706815581103637
F2bandwidth_sma3nz_amean,0.03634339027683749
F2amplitudeLogRelF0_sma3nz_amean,0.030301126534958797
spectralFluxUV_sma3nz_amean,0.02995570654306129
F3bandwidth_sma3nz_stddevNorm,0.02690911611459169
hammarbergIndexUV_sma3nz_amean,0.02650627157937752
F3amplitudeLogRelF0_sma3nz_stddevNorm,0.02438252538294515
logRelF0-H1-A3_sma3nz_stddevNorm,0.024132479072952757
mfcc2V_sma3nz_stddevNorm,0.02363941184709613
F2frequency_sma3nz_stddevNorm,0.02070141275159338
mfcc3_sma3_amean,0.019540929435702254
mfcc3_sma3_stddevNorm,0.017780956000473788
alphaRatioV_sma3nz_amean,0.016082913978516158
hammarbergIndexV_sma3nz_stddevNorm,0.015949668072869332
MeanVoicedSegmentLengthSec,0.015039368683386168
mfcc3V_sma3nz_stddevNorm,0.014942087415349978
alphaRatioV_sma3nz_stddevNorm,0.01485658734847465
spectralFlux_sma3_stddevNorm,0.014684800677817383
logRelF0-H1-A3_sma3nz_amean,0.014624794240765253
mfcc4V_sma3nz_stddevNorm,0.014527881254589281
slopeV500-1500_sma3nz_stddevNorm,0.014423882681231884
slopeUV500-1500_sma3nz_amean,0.014408645268788874
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.014308447999030185
logRelF0-H1-H2_sma3nz_amean,0.013608821130957188
F2amplitudeLogRelF0_sma3nz_stddevNorm,0.013213575870387847
F1bandwidth_sma3nz_stddevNorm,0.012633406631691435
F1amplitudeLogRelF0_sma3nz_amean,0.012576796749620249
loudness_sma3_stddevNorm,0.012576417615349878
F3bandwidth_sma3nz_amean,0.012485607516718749
mfcc1_sma3_amean,0.012177415117687461
F1bandwidth_sma3nz_amean,0.01148688107579671
mfcc1V_sma3nz_amean,0.011448235403752704
slopeV0-500_sma3nz_stddevNorm,0.011443598384404598
F1frequency_sma3nz_amean,0.01109576925611688
slopeUV0-500_sma3nz_amean,0.011083275343450322
VoicedSegmentsPerSec,0.01093218073774843
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.010867765624715562
shimmerLocaldB_sma3nz_amean,0.010338082434663899
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.009997591716111975
mfcc4_sma3_stddevNorm,0.009230558886035804
mfcc2_sma3_amean,0.008941379813213711
mfcc1V_sma3nz_stddevNorm,0.008711898849955704
loudness_sma3_meanRisingSlope,0.008262418157209801
F3frequency_sma3nz_stddevNorm,0.007815038184962441
loudnessPeaksPerSec,0.007801626002559477
loudness_sma3_amean,0.0077557587063085695
HNRdBACF_sma3nz_stddevNorm,0.007619527159297966
F2bandwidth_sma3nz_stddevNorm,0.007510477290155693
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.007460006765183541
mfcc4_sma3_amean,0.00726401488851871
mfcc3V_sma3nz_amean,0.00719361679228077
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.007025548606287143
loudness_sma3_percentile20.0,0.006693152458260139
F3amplitudeLogRelF0_sma3nz_amean,0.006244899294763247
slopeV0-500_sma3nz_amean,0.006083315636711477
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.006033718116347625
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.006029906174329033
mfcc2_sma3_stddevNorm,0.005998620995438357
spectralFluxV_sma3nz_amean,0.005835625057802775
logRelF0-H1-H2_sma3nz_stddevNorm,0.005773589157385162
loudness_sma3_stddevRisingSlope,0.005671778485609937
loudness_sma3_stddevFallingSlope,0.005470064719917432
mfcc2V_sma3nz_amean,0.005419199798751162
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.0054158765984468555
jitterLocal_sma3nz_stddevNorm,0.005403150591606432
mfcc1_sma3_stddevNorm,0.005305743603649673
shimmerLocaldB_sma3nz_stddevNorm,0.004996909581974519
StddevUnvoicedSegmentLength,0.0049510004028828205
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.00472682592881296
loudness_sma3_pctlrange0-2,0.004689605802456064
F3frequency_sma3nz_amean,0.004567061071477967
hammarbergIndexV_sma3nz_amean,0.004527475264409082
spectralFlux_sma3_amean,0.004017956320242886
loudness_sma3_percentile80.0,0.0040177373767454365
jitterLocal_sma3nz_amean,0.003987996137244189
mfcc4V_sma3nz_amean,0.003953089707126297
MeanUnvoicedSegmentLength,0.003905177889665962
F1frequency_sma3nz_stddevNorm,0.0038048070463191264
alphaRatioUV_sma3nz_amean,0.0036975626475504986
loudness_sma3_percentile50.0,0.002710543355281193
equivalentSoundLevel_dBp,0.002691235832703775
HNRdBACF_sma3nz_amean,0.0023492111694331033
F2frequency_sma3nz_amean,0.002220971641839686
F0semitoneFrom27.5Hz_sma3nz_amean,0.002169087332438952
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.0020164891206219566
loudness_sma3_meanFallingSlope,0.00194941408307651
slopeV500-1500_sma3nz_amean,0.001667702807446408
